Probe,Gene,logFC
212277_at,SLC35G3,-1.4552720215732908
244554_at,LINC01931,-1.455115476720304
235245_at,TSGA10IP,-1.4543419290894262
211388_s_at,LINC00477,-1.454170508771699
1563639_a_at,C17orf78,-1.4535720370086525
228310_at,KSR2,-1.4531745883339202
218694_at,PAX1,-1.4530317715084666
1563053_at,TDH,-1.4529630858482498
1556460_a_at,Unknown,-1.4528445813318314
225301_s_at,PALM2AKAP2,-1.4523289782194737
244225_x_at,MRGPRX4,-1.4520877358582396
1553366_s_at,A2ML1,-1.4519355242965013
235269_at,GPR6,-1.4517460728302136
221672_s_at,GJD3,-1.4513159769100359
216402_at,HOXC12,-1.4512819306125022
1564701_at,VNN3P,-1.4510690312484131
230683_at,VNN3P,-1.4510072614601253
200624_s_at,FERD3L,-1.4507716808059619
244161_at,"DEFT1P2, NA, DEFT1P",-1.4502523079903378
1562730_a_at,DGKB,-1.4498121874203092
226522_at,NLRP8,-1.4497190350875058
201254_x_at,TAS1R2,-1.4493677955272848
1563048_at,JPH1,-1.4489348213709963
1559699_at,NLRP10,-1.448559732503045
1567985_at,"MT-CO1, MTCO1P12",-1.4481163413200815
208753_s_at,GPR101,-1.4479578882731943
207911_s_at,ILDR1,-1.4479193590686485
223696_at,VN1R5,-1.4476694196099633
221197_s_at,TAAR8,-1.4473152793859592
201631_s_at,TAS2R40,-1.4466413847698394
1569736_at,TAS2R41,-1.4466386630274728
1569629_x_at,Unknown,-1.4456915630781384
206047_at,MACROD2,-1.4456341384327815
222422_s_at,DDAH1,-1.4455754444930606
222167_at,PIANP,-1.445350502019122
1560149_at,"MT-TD, MT-CO2, MT-TK, MT-ATP8, MT-ATP6, MTCO2P12, MTATP8P1, MTATP6P1",-1.4453059346165167
203219_s_at,H1-6,-1.4450543691183053
1552436_a_at,"MT-CO1, MT-TD, MT-CO2",-1.4446258621455736
223176_at,CYGB,-1.4446076226830336
225846_at,IFNE,-1.4444428399923634
1553726_s_at,SREK1IP1,-1.4442629386121637
238098_at,THRSP,-1.4440507986960154
233890_at,"NA, MAGEA5P",-1.4438322245156365
240514_at,POLE4,-1.4437247899170977
203603_s_at,"MT-ATP6, MT-CO3, MT-TG, MT-ND3, MT-TR, MT-ND4L",-1.4435344743500775
230132_at,"NA, FAM27E3",-1.4432160449571616
240357_at,Unknown,-1.4431999878727457
219310_at,TAL2,-1.4430767397524484
41856_at,SYCP3,-1.442993961699397
218712_at,ATL2,-1.4425650628592144
AFFX.DapX.3_at,KLHL35,-1.4415076302014558
209800_at,FOXC1,-1.4413030909081868
1553872_at,"TRIM43CP, TRIM43, TRIM43B, NA",-1.440938019570786
208553_at,TRIM42,-1.440711970789017
203917_at,FSIP1,-1.4406660144646757
220826_at,FAM98B,-1.4404200434711623
1554728_at,EFCAB13,-1.4402069041538312
207933_at,CABCOCO1,-1.4401779596229423
211104_s_at,"SLC9B1P4, SLC9B1P1, SLC9B1P3, SLC9B1, NA",-1.4401642974816742
