Probe,Gene,logFC
204226_at,C9orf163,1.4394317670108603
219016_at,CCDC141,1.4392444023690896
222702_x_at,LINC00896,1.438262664700623
217938_s_at,HUS1B,1.438104954927814
201973_s_at,CCDC34,1.4378942570244977
222507_s_at,"NA, INTS4",1.437594351900492
1554803_s_at,LRRIQ3,1.437326352237348
229153_at,KLC4,1.4368635393874523
236364_at,TIPRL,1.4366178423692955
218214_at,"ITGB1, ITGB1P1",1.4365634090508221
208415_x_at,VKORC1L1,1.4365039576838134
1559524_at,FBXL14,1.436354929679704
224160_s_at,SP1,1.4361270883468569
203732_at,ARK2N,1.4360414526272407
219643_at,METTL6,1.4356656781981483
218078_s_at,SGO1,1.4354675020088687
234448_at,PIK3C2A,1.435455283208139
243115_at,NLRX1,1.4354507027954475
213519_s_at,CCSAP,1.4353630037123495
228020_at,PRPF38A,1.4345420354529987
224838_at,FAM218A,1.433994467727115
204376_at,KCTD7,1.4335949989714685
201183_s_at,ZNF548,1.4333622587185395
202306_at,ZNF548,1.433157567688854
